DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Jul-2026,EQ,"3,195.00","3,199.90","3,142.30","3,188.90","3,157.90","3,150.60","3,166.82","3,245.00","1,753.00","10,35,101","3,27,79,79,939.80","39,531"
14-Jul-2026,EQ,"3,169.90","3,219.70","3,145.00","3,177.50","3,177.00","3,188.90","3,185.53","3,245.00","1,753.00","19,32,879","6,15,72,43,684.40","75,272"
13-Jul-2026,EQ,"3,127.30","3,195.00","3,115.20","3,157.30","3,174.70","3,177.50","3,173.02","3,245.00","1,753.00","15,99,810","5,07,62,22,521.80","62,291"
10-Jul-2026,EQ,"3,105.00","3,183.00","3,100.00","3,083.60","3,157.80","3,157.30","3,157.88","3,245.00","1,753.00","21,45,335","6,77,47,08,766.20","66,639"
09-Jul-2026,EQ,"3,060.00","3,105.00","3,026.80","3,046.90","3,077.80","3,083.60","3,071.42","3,245.00","1,753.00","26,09,306","8,01,42,85,016.10","86,815"
08-Jul-2026,EQ,"3,105.00","3,146.90","3,028.00","3,107.20","3,055.00","3,046.90","3,082.14","3,245.00","1,753.00","23,21,035","7,15,37,44,912.40","70,237"
07-Jul-2026,EQ,"3,209.90","3,215.20","3,096.50","3,206.60","3,109.90","3,107.20","3,147.47","3,245.00","1,753.00","20,93,552","6,58,93,88,134.40","74,092"
06-Jul-2026,EQ,"3,230.00","3,245.00","3,187.70","3,212.10","3,205.50","3,206.60","3,213.99","3,245.00","1,753.00","19,78,869","6,36,00,68,518.10","72,395"
03-Jul-2026,EQ,"3,192.00","3,224.00","3,105.50","3,177.50","3,209.90","3,212.10","3,174.59","3,229.60","1,753.00","28,48,623","9,04,32,09,659.40","1,03,302"
02-Jul-2026,EQ,"3,155.90","3,229.60","3,147.00","3,143.60","3,165.00","3,177.50","3,178.32","3,229.60","1,753.00","34,00,034","10,80,63,80,788.30","1,25,495"
01-Jul-2026,EQ,"3,041.00","3,149.80","3,012.80","3,036.00","3,143.00","3,143.60","3,112.40","3,149.80","1,753.00","34,15,655","10,63,08,91,179.70","1,07,300"
